Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 02/21  16:15:00,16.2,0.8849400000000001,18.20149290910282,11.890728852601099,25.0,0.0,15.6,25.0,0.0 
 02/21  16:30:00,16.2,0.8849400000000001,18.24916939696126,11.89010964844169,25.0,0.0,15.6,25.0,0.0 
 02/21  16:45:00,16.2,0.8849400000000001,18.28709001344382,11.889581522263552,25.0,0.0,15.6,25.0,0.0 
 02/21  17:00:00,16.2,0.8849400000000001,18.313290151953685,11.889154503212085,25.0,0.0,15.6,25.0,0.0 
 02/21  17:15:00,16.2,1.6593,18.402581189605006,11.888823012611013,25.0,0.0,15.6,25.0,0.0 
 02/21  17:30:00,16.2,1.6593,18.503240015376759,11.888601621598117,25.0,0.0,15.6,25.0,0.0 
 02/21  17:45:00,16.2,1.6593,18.578120538046908,11.888513199100644,25.0,0.0,15.6,25.0,0.0 
 02/21  18:00:00,16.2,1.6593,18.627549168516368,11.888579123638437,25.0,0.0,15.6,25.0,0.0 
 02/21  18:15:00,16.2,2.69079,18.73837954442094,11.88881853443021,25.0,0.0,15.6,25.0,0.0 
 02/21  18:30:00,16.2,2.69079,18.856421142923499,11.889246487003229,25.0,0.0,15.6,25.0,0.0 
 02/21  18:45:00,16.2,2.69079,18.945007939736884,11.889873210093655,25.0,0.0,15.6,25.0,0.0 
 02/21  19:00:00,16.2,2.69079,19.005071647081747,11.89070554930597,25.0,0.0,15.6,25.0,0.0 
 02/21  19:15:00,16.2,2.69079,19.05798635332988,11.891747346467243,25.0,0.0,15.6,25.0,0.0 
 02/21  19:30:00,16.2,2.69079,19.108547932311326,11.892997950620405,25.0,0.0,15.6,25.0,0.0 
 02/21  19:45:00,16.2,2.69079,19.15573242859064,11.894450525389305,25.0,0.0,15.6,25.0,0.0 
 02/21  20:00:00,16.2,2.69079,19.199988463575467,11.896091408726165,25.0,0.0,15.6,25.0,0.0 
 02/21  20:15:00,16.2,2.69079,19.242071292239034,11.897900794388609,25.0,0.0,15.6,25.0,0.0 
 02/21  20:30:00,16.2,2.69079,19.280125748576567,11.899854438281388,25.0,0.0,15.6,25.0,0.0 
 02/21  20:45:00,16.2,2.69079,19.314223462719764,11.901925631194587,25.0,0.0,15.6,25.0,0.0 
 02/21  21:00:00,16.2,2.69079,19.345456901957019,11.904087038470557,25.0,0.0,15.6,25.0,0.0 
