Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  12:00:00,16.2,0.72567,18.568930208105564,11.92025794987645,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  12:15:00,16.2,0.72567,18.555874669000127,11.919538853254388,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  12:30:00,16.2,0.72567,18.54323943420463,11.918805727722678,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  12:45:00,16.2,0.72567,18.531590197527636,11.918056993449609,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  13:00:00,16.2,0.72567,18.522164421370115,11.917282129647777,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  13:15:00,16.2,0.72567,18.51453177720196,11.916487203823092,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  13:30:00,16.2,0.72567,18.50684383948696,11.915684852913492,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  13:45:00,16.2,0.72567,18.498609214930405,11.91488398814846,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  14:00:00,16.2,0.72567,18.49022217079061,11.914089563677584,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  14:15:00,16.2,0.72567,18.484183713957589,11.913305419047344,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  14:30:00,16.2,0.72567,18.479073950768759,11.912535344170048,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  14:45:00,16.2,0.72567,18.474431537128028,11.911782867414344,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  15:00:00,16.2,0.72567,18.470171947342626,11.911051052249034,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  15:15:00,16.2,0.72567,18.47464942415533,11.910342448018215,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  15:30:00,16.2,0.72567,18.4819644072109,11.909704847440125,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  15:45:00,16.2,0.72567,18.48694600657616,11.909117779910327,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  16:00:00,16.2,0.72567,18.488996512331967,11.908546201860766,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  16:15:00,16.2,0.8849400000000001,18.52602880010956,11.907920349368073,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  16:30:00,16.2,0.8849400000000001,18.57361961839983,11.907312775883776,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  16:45:00,16.2,0.8849400000000001,18.611098263261878,11.906794798624582,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  17:00:00,16.2,0.8849400000000001,18.637022217127723,11.906376723416596,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
