Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  11:30:00,16.2,0.72567,18.594289766801617,11.921534396186845,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  11:45:00,16.2,0.72567,18.581508813236899,11.9209273021974,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  12:00:00,16.2,0.72567,18.568930208105429,11.920257949876446,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  12:15:00,16.2,0.72567,18.55587466900001,11.91953885325438,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  12:30:00,16.2,0.72567,18.543239434204535,11.918805727722673,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  12:45:00,16.2,0.72567,18.531590197527558,11.918056993449604,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  13:00:00,16.2,0.72567,18.522164421370066,11.917282129647776,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  13:15:00,16.2,0.72567,18.514531777201929,11.916487203823089,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  13:30:00,16.2,0.72567,18.506843839486945,11.91568485291349,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  13:45:00,16.2,0.72567,18.498609214930395,11.91488398814846,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  14:00:00,16.2,0.72567,18.49022217079061,11.914089563677582,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  14:15:00,16.2,0.72567,18.48418371395761,11.913305419047342,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  14:30:00,16.2,0.72567,18.479073950768794,11.912535344170048,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  14:45:00,16.2,0.72567,18.47443153712807,11.911782867414344,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  15:00:00,16.2,0.72567,18.470171947342668,11.91105105224903,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  15:15:00,16.2,0.72567,18.47464942415538,11.910342448018211,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  15:30:00,16.2,0.72567,18.481964407210954,11.909704847440123,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  15:45:00,16.2,0.72567,18.486946006576209,11.909117779910325,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  16:00:00,16.2,0.72567,18.48899651233201,11.908546201860766,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  16:15:00,16.2,0.8849400000000001,18.52602880010961,11.907920349368073,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  16:30:00,16.2,0.8849400000000001,18.573619618399897,11.907312775883776,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  16:45:00,16.2,0.8849400000000001,18.611098263261959,11.906794798624578,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  17:00:00,16.2,0.8849400000000001,18.637022217127819,11.90637672341659,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  17:15:00,16.2,1.6593,18.7257183859792,11.90605334664554,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  17:30:00,16.2,1.6593,18.82532197071475,11.905839056101325,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  17:45:00,16.2,1.6593,18.89893966742176,11.905756431091675,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  18:00:00,16.2,1.6593,18.94743546364014,11.905826665003426,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  18:15:00,16.2,2.69079,19.05664992464951,11.906068732242057,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  18:30:00,16.2,2.69079,19.172207696651048,11.906497512326677,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  18:45:00,16.2,2.69079,19.25826141457503,11.907123056746333,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  19:00:00,16.2,2.69079,19.316848838084668,11.907952040989504,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  19:15:00,16.2,2.69079,19.36906259997908,11.90898819066896,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  19:30:00,16.2,2.69079,19.419211543509286,11.910230849853719,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  19:45:00,16.2,2.69079,19.46589475340964,11.911673293338263,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  20:00:00,16.2,2.69079,19.509395767669049,11.913302029269705,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  20:15:00,16.2,2.69079,19.550691645156335,11.91509742656263,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  20:30:00,16.2,2.69079,19.58810371590115,11.917035413856353,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  20:45:00,16.2,2.69079,19.621706295117737,11.919089463548076,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  21:00:00,16.2,2.69079,19.652541000846523,11.921232433639386,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  21:15:00,16.2,3.0,19.67863724436066,11.923340458458912,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  21:30:00,16.2,3.0,19.699330082387325,11.925511219015567,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  21:45:00,16.2,3.0,19.716116760002444,11.927761025738678,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  22:00:00,16.2,3.0,19.730922681124324,11.93001181774034,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  22:15:00,16.2,2.69079,19.69666053559191,11.932240207670937,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  22:30:00,16.2,2.69079,19.648940377375508,11.93431761939948,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  22:45:00,16.2,2.69079,19.615131486212357,11.936319487296038,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  23:00:00,16.2,2.69079,19.59740083844215,11.93825865323432,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  23:15:00,16.2,3.0,19.5771472207583,11.940088931925056,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  23:30:00,16.2,3.0,19.55083665171786,11.941723685913165,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
